Tipo NI;CNPJ;Período de Apuração;Data de Transmissão;Hora Transmissão;Categoria;Origem;Tipo;Situação;Débito Apurado;Saldo a Pagar
CNPJ;1,03112E+12;01/07/2025;21/08/2025;15:09:52;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 134.412,53;R$ 134.347,53
CNPJ;1,03112E+12;01/05/2025;24/06/2025;10:43:42;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 113.141,59;R$ 113.076,59
CNPJ;2,12745E+11;01/09/2025;06/10/2025;12:46:05;Geral;eSocial;Original;Ativa;R$ 2.404,92;R$ 2.404,92
CNPJ;2,12745E+11;01/08/2025;03/09/2025;13:51:17;Geral;eSocial;Original;Ativa;R$ 2.399,00;R$ 2.399,00
CNPJ;2,12745E+11;01/07/2025;03/09/2025;16:12:48;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 2.213,35;R$ 2.213,35
CNPJ;2,12745E+11;01/06/2025;29/07/2025;10:45:51;Geral;eSocial;Retificadora;Ativa;R$ 2.334,61;R$ 2.334,61
CNPJ;2,12745E+11;01/05/2025;03/06/2025;11:24:05;Geral;eSocial;Original;Ativa;R$ 2.478,29;R$ 2.478,29
CNPJ;2,12745E+11;01/04/2025;04/06/2025;10:14:11;Geral;eSocial;Original;Ativa;R$ 2.404,92;R$ 2.404,92
CNPJ;2,12745E+11;01/03/2025;02/05/2025;17:41:40;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 2.235,93;R$ 2.235,93
CNPJ;2,12745E+11;01/02/2025;17/04/2025;11:43:08;Geral;eSocial;Original;Ativa;R$ 2.333,70;R$ 2.333,70
CNPJ;2,12745E+11;01/01/2025;13/03/2025;14:15:20;Geral;eSocial;Original;Ativa;R$ 2.483,43;R$ 2.483,43
CNPJ;2,12745E+11;01/12/2024;06/02/2025;15:33:04;Geral;eSocial;Original;Ativa;R$ 2.148,46;R$ 2.148,46
CNPJ;2,12745E+11;01/11/2024;09/01/2025;15:43:48;Geral;eSocial;Original;Ativa;R$ 2.385,83;R$ 2.385,83
CNPJ;2,61116E+12;01/06/2025;31/07/2025;10:15:18;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 1.657.066,78;R$ 1.657.066,78
CNPJ;2,18434E+12;01/05/2025;25/06/2025;12:22:52;Geral;"eSocial, REINF CP, REINF
RET, MIT";Original;Ativa;R$ 757.216,14;R$ 696.223,48
CNPJ;1,56165E+12;01/09/2025;13/10/2025;09:14:16;Geral;eSocial;Original;Ativa;R$ 1.602,43;R$ 1.537,43
CNPJ;1,56165E+12;01/08/2025;08/09/2025;08:39:14;Geral;eSocial;Original;Ativa;R$ 2.048,49;R$ 1.983,49
CNPJ;1,56165E+12;01/07/2025;08/08/2025;09:44:29;Geral;eSocial;Original;Ativa;R$ 1.988,96;R$ 1.923,96
CNPJ;1,56165E+12;01/06/2025;04/07/2025;09:04:14;Geral;eSocial;Original;Ativa;R$ 2.275,87;R$ 2.210,87
CNPJ;1,56165E+12;01/05/2025;09/06/2025;10:24:03;Geral;eSocial;Original;Ativa;R$ 1.946,40;R$ 1.881,40
CNPJ;1,54201E+12;01/08/2025;23/09/2025;13:09:28;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 78.583,48;R$ 78.583,48
CNPJ;1,54201E+12;01/07/2025;21/08/2025;16:51:31;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 95.677,52;R$ 95.677,52
CNPJ;1,54201E+12;01/06/2025;29/07/2025;10:45:17;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 197.823,88;R$ 197.758,88
CNPJ;1,54201E+12;01/05/2025;23/06/2025;12:09:31;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 78.959,03;R$ 78.959,03
CNPJ;3,53133E+12;01/09/2025;15/10/2025;13:45:17;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 5.678,99;R$ 5.483,99
CNPJ;3,53133E+12;01/07/2025;14/08/2025;10:14:16;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 5.644,38;R$ 5.449,38
CNPJ;3,53133E+12;01/06/2025;11/07/2025;08:00:19;Geral;"eSocial, REINF CP, REINF
RET";Original;Ativa;R$ 5.757,25;R$ 5.562,25
CNPJ;3,53133E+12;01/05/2025;11/06/2025;10:28:41;Geral;"eSocial, REINF CP, REINF
RET";Original;Ativa;R$ 5.656,98;R$ 5.461,98
CNPJ;3,39587E+12;01/09/2025;17/10/2025;15:20:20;Geral;eSocial;Original;Ativa;R$ 93,93;R$ 93,93
CNPJ;3,39587E+12;01/08/2025;17/09/2025;11:29:18;Geral;eSocial, REINF CP;Original;Ativa;R$ 69,20;R$ 0,00
CNPJ;3,39587E+12;01/07/2025;08/08/2025;12:14:01;Geral;eSocial, REINF RET;Retificadora;Ativa;R$ 88,98;R$ 88,98
CNPJ;3,39587E+12;01/06/2025;10/07/2025;15:33:51;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 107,52;R$ 18,54
CNPJ;3,39587E+12;01/05/2025;11/06/2025;11:37:44;Geral;"eSocial, REINF CP, REINF
RET";Retificadora;Ativa;R$ 151,86;R$ 18,54
CNPJ;4,22391E+12;01/06/2025;24/07/2025;09:20:15;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 77.115,21;R$ 73.116,15
CNPJ;3,72545E+12;01/09/2025;;;Geral;eSocial, REINF CP;Retificadora;Em andamento;R$ 7.138,24;R$ 7.138,24
CNPJ;3,72545E+12;01/09/2025;29/09/2025;13:32:04;Geral;eSocial;Original;Ativa;R$ 7.138,24;R$ 7.138,24
CNPJ;3,72545E+12;01/08/2025;30/09/2025;15:50:28;Geral;eSocial, REINF CP, MIT;Retificadora;Ativa;R$ 8.362,15;R$ 8.362,15
CNPJ;3,72545E+12;01/07/2025;21/08/2025;17:22:49;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 7.009,60;R$ 7.009,60
CNPJ;3,72545E+12;01/06/2025;14/07/2025;21:00:17;Geral;"eSocial, REINF CP, REINF
RET, MIT";Retificadora;Ativa;R$ 12.596,82;R$ 12.596,82
CNPJ;3,72545E+12;01/05/2025;23/06/2025;18:25:17;Geral;eSocial, REINF RET, MIT;Retificadora;Ativa;R$ 6.924,08;R$ 6.924,08
