Tipo NI;Número Identificação;Período Apuração;Data Transmissão;Categoria;Origem;Tipo;Situação;Débito Apurado;Saldo a Pagar
CNPJ;01.031.119/0001-94;01/2026;;Geral;eSocial;Original;Em andamento;35393.18;35325.64
CNPJ;05.218.070/0001-34;10/2025;2026-01-28 10:15:20;Geral;"eSocial, REINF CP, REINF RET, MIT";Retificadora;Em andamento;123310.48;123310.48
CNPJ;05.755.778/0001-24;12/2025;2026-01-21 15:06:25;Geral;"eSocial, MIT";Retificadora;Em andamento;403756.20;403756.20
CNPJ;05.805.349/0001-14;01/2026;2026-01-20 14:19:30;Geral;MIT;Original;Em andamento;236743.28;236743.28
CNPJ;07.057.918/0001-16;12/2025;2025-12-29 10:49:44;Geral;"eSocial, REINF CP, REINF RET, MIT";Original;Em andamento;77333.62;77333.62
CNPJ;09.104.418/0001-13;12/2025;2026-01-22 15:15:00;Geral;"eSocial, MIT";Retificadora;Em andamento;28923.34;28923.34
CNPJ;09.261.356/0001-53;04/2025;;Geral;eSocial;Original;Em andamento;4613.09;4613.09
CNPJ;09.382.770/0001-10;2021;;13º Salário;eSocial;Original sem movimento;Em andamento;0.00;0.00
CNPJ;12.376.888/0001-40;12/2025;2025-12-29 09:42:20;Geral;"eSocial, MIT";Retificadora;Em andamento;6740.95;6740.95
CNPJ;13.415.341/0001-70;01/2026;2025-12-10 10:11:09;Geral;eSocial;Original;Em andamento;9583.27;9515.73
CNPJ;27.489.855/0001-84;12/2025;2025-12-29 15:01:50;Geral;"eSocial, REINF CP, REINF RET, MIT";Original;Em andamento;164205.34;164205.34
CNPJ;30.393.954/0001-72;12/2025;2026-01-21 15:31:32;Geral;"eSocial, MIT";Retificadora;Em andamento;2114.55;2114.55
CNPJ;30.686.869/0001-00;01/2026;2026-01-09 09:27:36;Geral;eSocial;Original;Em andamento;4471.98;4471.98
CNPJ;31.042.305/0001-90;12/2025;2026-01-09 13:48:44;Geral;"eSocial, REINF CP, REINF RET";Retificadora;Em andamento;5284.95;5284.95
CNPJ;32.424.350/0001-71;12/2025;;Geral;"eSocial, MIT";Retificadora;Em andamento;100420.16;99889.33
CNPJ;33.023.240/0001-60;03/2024;;Geral;REINF RET;Original zerada;Em andamento;0.00;0.00
CNPJ;36.578.434/0001-10;01/2026;2026-01-12 09:48:29;Geral;eSocial;Original;Em andamento;4335.28;4335.28
CNPJ;36.578.434/0001-10;02/2022;;Geral;eSocial;Original sem movimento;Em andamento;0.00;0.00
CNPJ;42.569.379/0001-03;12/2025;;Geral;"eSocial, REINF CP, REINF RET";Retificadora;Em andamento;588.91;588.91
CNPJ;47.767.079/0001-44;11/2025;;Geral;REINF CP;Original sem movimento;Em andamento;0.00;0.00
CNPJ;47.767.079/0001-44;12/2025;;Geral;REINF CP;Original sem movimento;Em andamento;0.00;0.00
CNPJ;48.093.989/0001-51;10/2022;;Geral;eSocial;Original sem movimento;Em andamento;0.00;0.00
CNPJ;48.401.933/0001-17;01/2026;;Geral;eSocial;Original;Em andamento;35083.08;34677.84
CNPJ;48.852.213/0001-78;07/2024;;Geral;REINF RET;Original zerada;Em andamento;0.00;0.00
CNPJ;48.852.213/0001-78;10/2024;;Geral;REINF RET;Original sem movimento;Em andamento;0.00;0.00
CNPJ;57.887.103/0001-32;01/2026;2026-01-20 09:27:36;Geral;eSocial;Original;Em andamento;4471.98;4471.98
