CNPJ,Capital_Social
42.081.159/0001-28,1000.00
13.845.695/0001-54,10000.00
11.318.082/0001-33,80000.00
43.340.265/0001-41,1000.00
07.799.121/0001-94,850000.00
47.306.185/0001-20,20000.00
36.578.434/0001-10,20000.00
42.532.281/0001-73,200000.00
63.231.837/0001-61,1000.00
31.332.375/0001-82,20000.00
59.160.869/0001-46,50000.00
41.004.473/0001-44,100000.00
10.338.682/0001-09,681509.00
61.215.139/0001-47,150000.00
37.297.680/0001-67,10000.00
09.104.418/0001-13,100000.00
22.542.368/0001-14,100000.00
30.393.954/0001-72,1000000.00
34.263.516/0001-40,10000.00
52.945.020/0001-39,10000.00
59.580.750/0001-22,100000.00
59.267.356/0001-39,5000.00
24.203.997/0001-45,2500.00
07.452.963/0001-75,2500.00

